ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionB_batch1	sample4_conditionB_batch1
4f31fab6-bd46-4745-92fc-ccedbf435bd9_R1_92	1136.0	621.0	252.0	283.0
4fc22002-f8f6-44b5-a289-05718dfa556d_R2_53	6.0	8.0	23.0	33.0
505c606c-94bd-430e-845e-677648924eb6_R1_73	2.0	0.0	6.0	3.0
50781510-96be-4306-aae8-7eb69806d27c_R2_72	220.0	129.0	145.0	198.0
50ee3c18-d81b-4cf1-8d77-251bba268766_R2_46	37.0	21.0	14.0	34.0
51adfdef-d3d9-4eff-b1b9-5f19b9931943_R1_73	370.0	326.0	1443.0	2220.0
51ba80c4-0594-4ddb-86a6-3649e7c52e50_R2_53	3.0	4.0	18.0	18.0
5209902a-6a3c-4d2e-95db-9b84199fd741_R2_46	43.0	46.0	18.0	26.0
52a5e430-6270-44cd-8ca2-71b54eb8056b_R2_41	1.0	0.0	2.0	3.0
52c92e0f-3820-4704-9d83-4060d8105806_R1_22	18.0	11.0	0.0	0.0
5315c207-9b57-430e-b1c0-4929277da25d_chrIS:4145000	15.0	9.0	18.0	14.0
53554f63-f9d7-4c8a-96b1-aac416f4cd10_R2_59	0.0	0.0	2.0	2.0
536b5da2-0ff6-4ecf-94e2-04c9a3469331_R1_73	19.0	12.0	37.0	46.0
537a4a9f-cb3a-4ecd-bde7-157d9ec65aa5_R2_53	2.0	2.0	5.0	5.0
5492529b-0168-445e-9d5a-12dcc8a678ec_R1_103	28.0	13.0	7.0	5.0
54dc9ad5-6035-49d5-9457-c2d294c3aadb_R1_103	11.0	5.0	1.0	0.0
550a2d85-bf51-4b3b-b4ad-9b3e1677f2ce_R1_103	1.0	1.0	2.0	8.0
5517491b-4214-4501-9a79-21c2f0afd652_chrIS:6223000	44.0	21.0	26.0	60.0
55c312ba-ea95-4b0b-80dc-f6e56096552c_R2_72	68.0	48.0	49.0	67.0
56bb4498-6583-497c-bc28-09a48b4b0895_R1_11	85.0	24.0	37.0	53.0
57955421-4378-4725-840e-119b92d1d367_R2_154	223720.0	83279.0	141928.0	226734.0
58467a66-fc60-4c93-a841-b976c19b6176_R2_38	55.0	26.0	31.0	56.0
589f35d1-dcf1-43c7-9eb9-9a402f2be3a3_R1_103	2.0	3.0	10.0	17.0
597d8ea5-e5d0-4e34-be5e-c754d4a3c0ad_R2_53	8.0	3.0	18.0	20.0
597f1ca1-9137-408f-99ea-158ff468b898_R1_33	2.0	1.0	2.0	2.0
59b49bc5-3ff4-4df8-828a-8ab991332151_R2_53	12.0	10.0	35.0	62.0
59daf16a-13fe-4f05-85b4-7f6c4bf9fba2_R1_92	7.0	1.0	4.0	0.0
59fc6463-81bf-4f2f-9903-c0433c996588_R1_33	1.0	0.0	1.0	2.0
5a974647-7ed7-42b1-b475-621d629fb258_R2_7	49.0	33.0	1.0	3.0
5b35e450-6ce4-492f-9ea7-325cb0f8dca9_chrIS:5188000	117.0	43.0	51.0	81.0
5c53c89b-1994-4fc4-8814-c270e3f41a8c_R1_73	112.0	64.0	224.0	370.0
5c9ccccf-a646-4c0e-8efd-dabb330dbb8c-1_R1_103	1.0	0.0	1.0	1.0
5c9ccccf-a646-4c0e-8efd-dabb330dbb8c_R1_103	2.0	3.0	1.0	2.0
5d62fde3-ea93-4f7a-b59b-2e13edb92f00_R2_14	219.0	96.0	105.0	184.0
5d8b2ec0-d457-41f7-a211-80056bf1d1aa_R1_33	3.0	1.0	2.0	1.0
5dc91a21-9207-4ce1-ad26-a59030a810a7_chrIS:5389000	2533.0	1424.0	1788.0	2414.0
5de407e8-8924-4862-b3bd-c8483cede38d_R1_73	116.0	69.0	232.0	388.0
5e198f8e-2b65-41e3-9ee1-8696cf5e4e4e_chrIS:8211000	4.0	7.0	16.0	22.0
5e3426c3-9f17-4b2f-981a-4ad42302a6c0_R2_38	11.0	3.0	7.0	11.0
5f3e1808-6dc2-4277-832c-aaa2c2be2bc1_R1_103	2.0	1.0	14.0	20.0
5f55dd86-17c7-433b-aa1e-866ba69fb1b7_R2_38	82.0	33.0	47.0	55.0
60115972-8ca3-47ed-8991-73aba1d84dfd_R1_33	2.0	2.0	0.0	2.0
60725802-92aa-412f-9b22-b62d12b7f71d_R2_38	19.0	6.0	15.0	15.0
60ac18bc-920d-47b3-8e1b-fec930e4c767_R1_73	11.0	7.0	10.0	20.0
61860234-30d4-4ddf-869d-a099e964eec0_R1_22	12.0	5.0	0.0	0.0
61f96dcc-2f0c-465a-826a-8dd889b0db89_R1_103	6.0	9.0	0.0	0.0
62889c90-273e-4adf-89bf-a1aba540e343_R1_13	27.0	25.0	6.0	0.0
630533e1-e493-4def-ae60-c2d73f02f675_R2_53	6.0	6.0	30.0	40.0
634944e2-364a-49c4-93e7-3fbbec075e5e_R2_38	57.0	26.0	30.0	37.0
63647659-3c44-4d71-b303-07829d5ad48c_R1_73	47.0	27.0	101.0	149.0
63d4c8bc-2b41-4c39-a3fc-b90e8bc1e419_R2_38	3.0	1.0	2.0	4.0
640380b5-cf76-4328-add9-d94dc252e0e8_chrIS:6179000	467.0	103.0	14787.0	23029.0
6439cabe-c1e3-4ffe-b9e8-79b8184e004c_R1_73	0.0	0.0	0.0	2.0
643c7bb9-12c2-4d1e-9301-c1c42c9b86f7_R2_53	10.0	4.0	39.0	48.0
6471d713-ff77-4ae4-bdfb-64d7b51d2c0b_R2_53	9.0	10.0	39.0	47.0
6485f120-3d44-4ca1-adae-fb66bd23825e_chrIS:7908000	2.0	1.0	4.0	0.0
64fd5130-d80a-493d-9273-1f7ea14bec03_R1_103	10.0	6.0	2.0	1.0
650812e6-696e-4613-9e40-f7769194c1b5_R1_73	13.0	3.0	5.0	9.0
658a8b8e-117a-45af-9666-aa1e926864ed_R1_92	22.0	11.0	3.0	2.0
65a71bf7-9330-459f-9c68-c5c96a84e5fb_R1_73	27.0	5.0	8.0	12.0
66dec858-96b4-484b-9aca-7cdccc3664b4_R1_22	3.0	3.0	1.0	1.0
67131fc2-2c6f-4efb-8d04-ca1fb389a075_R1_73	583.0	175.0	341.0	523.0
675e0e34-65ed-4b82-a2cd-611feac81bca_chrIS:6209000	81.0	31.0	23807.0	37718.0
676d4885-8a99-4f29-9566-d7cc37d55cf1_R1_24	1.0	1.0	0.0	1.0
67d062d9-141d-4ad6-b1e2-4cbf19664631_R2_53	5.0	2.0	13.0	11.0
680ce364-35fc-48e8-a007-d61fb2c612f0_chrIS:6949000	5.0	4.0	51.0	81.0
682038bc-b59c-4a86-8f97-772219f5a0e7_R2_26	15.0	12.0	0.0	0.0
68ebad88-74a7-49b5-b111-566ef08be81a_R1_73	34.0	14.0	29.0	36.0
690bcb62-a6d4-4bda-b4ad-88e3dca8a53a_R2_38	17.0	9.0	18.0	22.0
693a5ed0-df8d-4642-bdf7-6ba25a9a57a8_R1_73	56.0	28.0	143.0	187.0
694c3d39-319a-4ffa-89df-657979d1ef97_R1_103	17.0	6.0	1.0	3.0
697d50d0-8a01-4b3e-973a-dd69ccad4aa8_R2_38	21.0	19.0	16.0	20.0
69b24c56-a9b5-49bc-9f4d-7d752e6dd68e_R2_60	0.0	0.0	5.0	9.0
69e3b5c6-2823-46bc-a6d0-210962990f20_R1_33	2.0	0.0	2.0	0.0
6a59f2cd-13ec-4998-8b15-1937f643c5d5_R1_23	2.0	2.0	1.0	3.0
6a6b4949-6b78-4d59-b04f-374a45698879_R1_92	2.0	2.0	1.0	0.0
